QueryNumber;QueryText
00090;FACTORS RESPONSIBLE APPEARANCE MUCOID STRAINS PSEUDOMONAS AERUGINOSA CF PATIENTS
00091;UNUSUAL MANIFESTATIONS CF LUNG DISEASE EXOCRINE PANCREATIC INSUFFICIENCY
00092;PROGNOSIS SURVIVAL PATIENTS CF
00094;ANIMAL MODELS AVAILABLE RELEVANT CF
00095;ABNORMALITIES SKELETAL MUSCLE FUNCTION STRUCTURE FOUND CF PATIENTS
00096;INCREASED INCIDENCE DENTAL PROBLEMS EG CARIES PERIODONTAL DISEASE CF PATIENTS
00097;OXYGEN TRANSPORT RED BLOOD CELLS ABNORMAL CF PATIENTS
00098;EFFECTS CF DEVELOPMENT ANDOR FUNCTION BRAIN CENTRAL NERVOUS SYSTEM
00099;ABNORMALITIES TASTE CF PATIENTS
00100;INCIDENCE TREATMENT HYPERTROPHIC OSTEOARTHROPATHY CF PATIENTS
